Título,Link,Local,Salário,Salário Anunciado,Fonte,Salario_Inf,Salario_Sup
Auxiliar de Confeitaria,https://www.catho.com.br/vagas/auxiliar-de-confeitaria-sharp1200/30652064/,Curitiba - PR (1),"De R$ 2.001,00 a R$ 3.000,00",True,https://www.catho.com.br/vagas/?page=2,2001.0,3000.0
VIDRACEIRO – CENTRO – PINHAIS – CLT,https://www.catho.com.br/vagas/vidraceiro-centro-pinhais-clt/30652072/,Pinhais - PR (1),"De R$ 2.001,00 a R$ 3.000,00",True,https://www.catho.com.br/vagas/?page=2,2001.0,3000.0
Estágio,https://www.catho.com.br/vagas/estagio-em-recursos-humanos/30652369/,Brasilia - DF (1),"De R$ 2.001,00 a R$ 3.000,00",True,https://www.catho.com.br/vagas/?page=2,2001.0,3000.0
Assistente Administrativo Financeiro,https://www.catho.com.br/vagas/assistente-administrativo-financeiro/30652090/,Porto Alegre - RS (1),"De R$ 2.001,00 a R$ 3.000,00",True,https://www.catho.com.br/vagas/?page=3,2001.0,3000.0
Técnico,https://www.catho.com.br/vagas/tecnico-em-eletronica/30652060/,Porto Alegre - RS (1),"De R$ 2.001,00 a R$ 3.000,00",True,https://www.catho.com.br/vagas/?page=3,2001.0,3000.0
Meio Oficial Marceneiro,https://www.catho.com.br/vagas/meio-oficial-marceneiro/30646669/,Rio de Janeiro - RJ (1),"De R$ 2.001,00 a R$ 3.000,00",True,https://www.catho.com.br/vagas/?page=3,2001.0,3000.0
Social Media,https://www.catho.com.br/vagas/social-media/30652101/,Belem - PA (1),"De R$ 2.001,00 a R$ 3.000,00",True,https://www.catho.com.br/vagas/?page=3,2001.0,3000.0
Eletricista de Instalações,https://www.catho.com.br/vagas/eletricista-de-instalacoes/30652537/,Belo Horizonte - MG (3),"De R$ 2.001,00 a R$ 3.000,00",True,https://www.catho.com.br/vagas/?page=3,2001.0,3000.0
AJUSTADOR MECÂNICO – PINHAIS – CLT,https://www.catho.com.br/vagas/ajustador-mecanico-pinhais-clt/30652084/,Pinhais - PR (1),"De R$ 2.001,00 a R$ 3.000,00",True,https://www.catho.com.br/vagas/?page=3,2001.0,3000.0
Vendedor,https://www.catho.com.br/vagas/vendedor/30652210/,Goiania - GO (1),"De R$ 2.001,00 a R$ 3.000,00",True,https://www.catho.com.br/vagas/?page=3,2001.0,3000.0
Consultor de Crédito e Empréstimos,https://www.catho.com.br/vagas/consultor-de-credito-e-emprestimos/30652226/,São Paulo - SP (1),"De R$ 2.001,00 a R$ 3.000,00",True,https://www.catho.com.br/vagas/?page=3,2001.0,3000.0
ANALISTA DE LOGISTICA,https://www.catho.com.br/vagas/analista-de-logistica/30652358/,São Paulo - SP (1),"De R$ 2.001,00 a R$ 3.000,00",True,https://www.catho.com.br/vagas/?page=3,2001.0,3000.0
Analista Financeiro,https://www.catho.com.br/vagas/analista-financeiro/30652377/,Goiania - GO (1),"De R$ 2.001,00 a R$ 3.000,00",True,https://www.catho.com.br/vagas/?page=3,2001.0,3000.0
Auxiliar Administrativo,https://www.catho.com.br/vagas/auxiliar-administrativo/30652091/,Rio de Janeiro - RJ (1),"De R$ 2.001,00 a R$ 3.000,00",True,https://www.catho.com.br/vagas/?page=3,2001.0,3000.0
Assistente Administrativo,https://www.catho.com.br/vagas/assistente-administrativo-financeiro/30652057/,Porto Alegre - RS (1),"De R$ 2.001,00 a R$ 3.000,00",True,https://www.catho.com.br/vagas/?page=3,2001.0,3000.0
Auxiliar de cozinha,https://www.catho.com.br/vagas/auxiliar-de-cozinha/30652087/,Jundiai - SP (1),"De R$ 2.001,00 a R$ 3.000,00",True,https://www.catho.com.br/vagas/?page=3,2001.0,3000.0
Operador de Empilhadeira,https://www.catho.com.br/vagas/operador-de-empilhadeira/30647192/,São Bernardo do Campo - SP (1),"De R$ 2.001,00 a R$ 3.000,00",True,https://www.catho.com.br/vagas/?page=3,2001.0,3000.0
Motorista categoria D,https://www.catho.com.br/vagas/motorista-categoria-d/30652355/,Itu - SP (1),"De R$ 2.001,00 a R$ 3.000,00",True,https://www.catho.com.br/vagas/?page=3,2001.0,3000.0
Motorista categoria D,https://www.catho.com.br/vagas/motorista-categoria-d/30652355/,Itu - SP (1),"De R$ 2.001,00 a R$ 3.000,00",True,https://www.catho.com.br/vagas/?page=4,2001.0,3000.0
telemarketing,https://www.catho.com.br/vagas/telemarketing/30648864/,Pelotas - RS (10),"Até R$ 2.000,00",True,https://www.catho.com.br/vagas/?page=4,2000.0,2000.0
Vagas de Vendedor,https://www.catho.com.br/vagas/vendedor/30652207/,Guarulhos - SP (1),"Até R$ 2.000,00",True,https://www.catho.com.br/vagas/?page=4,2000.0,2000.0
Auxiliar de serviços gerais,https://www.catho.com.br/vagas/auxiliar-de-servicos-gerais-sharp1200/30652071/,Curitiba - PR (1),"Até R$ 2.000,00",True,https://www.catho.com.br/vagas/?page=4,2000.0,2000.0
Consultor de Vendas,https://www.catho.com.br/vagas/consultor-de-vendas/30652356/,Palmas - TO (1),"Até R$ 2.000,00",True,https://www.catho.com.br/vagas/?page=4,2000.0,2000.0
Auxiliar de Logística,https://www.catho.com.br/vagas/auxiliar-de-logistica/30652055/,Cajamar - SP (500),"Até R$ 2.000,00",True,https://www.catho.com.br/vagas/?page=4,2000.0,2000.0
Consultor Comercial,https://www.catho.com.br/vagas/consultor-comercial-sharp1200/30652059/,Curitiba - PR (2),"Até R$ 2.000,00",True,https://www.catho.com.br/vagas/?page=4,2000.0,2000.0
MOTOBOY,https://www.catho.com.br/vagas/motoboy-panificadora/30652048/,Itaperuna - RJ (1),"Até R$ 2.000,00",True,https://www.catho.com.br/vagas/?page=4,2000.0,2000.0
Perfumista,https://www.catho.com.br/vagas/perfumista/30652043/,São Paulo - SP (1),"Até R$ 2.000,00",True,https://www.catho.com.br/vagas/?page=4,2000.0,2000.0
Consultora Comercial na área da Estética,https://www.catho.com.br/vagas/consultora-comercial-na-area-da-estetica-santana-de-parnaiba/29992318/,Santana de Parnaíba - SP (1),"Até R$ 2.000,00",True,https://www.catho.com.br/vagas/?page=4,2000.0,2000.0
Operador de Caixa,https://www.catho.com.br/vagas/operador-de-caixa/30652218/,Curitiba - PR (1),"Até R$ 2.000,00",True,https://www.catho.com.br/vagas/?page=4,2000.0,2000.0
Repositor de Estoque,https://www.catho.com.br/vagas/repositor-de-estoque/30651912/,Campina Grande do Sul - PR (1),"Até R$ 2.000,00",True,https://www.catho.com.br/vagas/?page=4,2000.0,2000.0
Representante de Envios 1,https://www.catho.com.br/vagas/representante-de-envios-1/30652050/,Betim - MG (51),"Até R$ 2.000,00",True,https://www.catho.com.br/vagas/?page=4,2000.0,2000.0
Líder de Vendas Loja Material de Construção,https://www.catho.com.br/vagas/lider-de-vendas-loja-material-de-construcao/30652083/,Suzano - SP (1),"Até R$ 2.000,00",True,https://www.catho.com.br/vagas/?page=4,2000.0,2000.0
Atendente de locação,https://www.catho.com.br/vagas/atendente-de-locacao/30652105/,Belo Horizonte - MG (1),"Até R$ 2.000,00",True,https://www.catho.com.br/vagas/?page=4,2000.0,2000.0
Líder de Vendas Loja Material de Construção,https://www.catho.com.br/vagas/lider-de-vendas-loja-material-de-construcao/30652083/,Suzano - SP (1),"Até R$ 2.000,00",True,https://www.catho.com.br/vagas/?page=5,2000.0,2000.0
Atendente de locação,https://www.catho.com.br/vagas/atendente-de-locacao/30652105/,Belo Horizonte - MG (1),"Até R$ 2.000,00",True,https://www.catho.com.br/vagas/?page=5,2000.0,2000.0
Motorista Categoria B,https://www.catho.com.br/vagas/motorista-categoria-b/30652093/,Porto Alegre - RS (1),"Até R$ 2.000,00",True,https://www.catho.com.br/vagas/?page=5,2000.0,2000.0
Vagas de Auxiliar de Limpeza,https://www.catho.com.br/vagas/auxiliar-de-limpeza/30652365/,Barueri - SP (1),"Até R$ 2.000,00",True,https://www.catho.com.br/vagas/?page=5,2000.0,2000.0
Vagas de Auxiliar de Limpeza,https://www.catho.com.br/vagas/auxiliar-de-limpeza/30652208/,Barueri - SP (1),"Até R$ 2.000,00",True,https://www.catho.com.br/vagas/?page=5,2000.0,2000.0
Chapeiro,https://www.catho.com.br/vagas/chapeiro/30652221/,Rio de Janeiro - RJ (1),"Até R$ 2.000,00",True,https://www.catho.com.br/vagas/?page=5,2000.0,2000.0
Auxiliar Administrativo,https://www.catho.com.br/vagas/auxiliar-administrativo/30646668/,Rio de Janeiro - RJ (1),"Até R$ 2.000,00",True,https://www.catho.com.br/vagas/?page=5,2000.0,2000.0
Auxiliar serviços gerais,https://www.catho.com.br/vagas/auxiliar-servicos-gerais/30652202/,Rio de Janeiro - RJ (1),"Até R$ 2.000,00",True,https://www.catho.com.br/vagas/?page=5,2000.0,2000.0
Auxiliar de Limpeza,https://www.catho.com.br/vagas/auxiliar-de-limpeza/30652033/,Nova Petrópolis - RS (1),"Até R$ 2.000,00",True,https://www.catho.com.br/vagas/?page=5,2000.0,2000.0
AUXILIAR DE CARGA E DESCARGA,https://www.catho.com.br/vagas/auxiliar-de-carga-e-descarga-transportadora-em-cambuci/30652040/,Cambuci - RJ (1),"Até R$ 2.000,00",True,https://www.catho.com.br/vagas/?page=5,2000.0,2000.0
DOMÉSTICA,https://www.catho.com.br/vagas/domestica-bairro-pres-costa-e-silva/30652034/,Itaperuna - RJ (1),"Até R$ 2.000,00",True,https://www.catho.com.br/vagas/?page=5,2000.0,2000.0
Estagiário de Marketing com atuação principal,https://www.catho.com.br/vagas/estagiario-de-marketing-com-atuacao-principal-em-social-media/30652201/,São Paulo - SP (1),"Até R$ 2.000,00",True,https://www.catho.com.br/vagas/?page=5,2000.0,2000.0
Secretaria,https://www.catho.com.br/vagas/secretaria/30652097/,São Paulo - SP (1),"Até R$ 2.000,00",True,https://www.catho.com.br/vagas/?page=5,2000.0,2000.0
Assistente Financeiro,https://www.catho.com.br/vagas/assistente-financeiro/30652350/,Curitiba - PR (1),"Até R$ 2.000,00",True,https://www.catho.com.br/vagas/?page=5,2000.0,2000.0
Encarregado de Limpeza,https://www.catho.com.br/vagas/encarregado-de-limpeza/30652380/,Goiania - GO (1),"Até R$ 2.000,00",True,https://www.catho.com.br/vagas/?page=5,2000.0,2000.0
Gerente de Loja [varejo],https://www.catho.com.br/vagas/gerente-de-loja-varejo/30652068/,Teixeira de Freitas - BA (1),"Até R$ 2.000,00",True,https://www.catho.com.br/vagas/?page=6,2000.0,2000.0
Serviço Gerais,https://www.catho.com.br/vagas/servico-gerais/30652102/,Curitiba - PR (1),"Até R$ 2.000,00",True,https://www.catho.com.br/vagas/?page=6,2000.0,2000.0
Confeiteiro,https://www.catho.com.br/vagas/confeiteiro/30651907/,São Paulo - SP (1),"Até R$ 2.000,00",True,https://www.catho.com.br/vagas/?page=6,2000.0,2000.0
Encarregado de Limpeza,https://www.catho.com.br/vagas/encarregado-de-limpeza/30652380/,Goiania - GO (1),"Até R$ 2.000,00",True,https://www.catho.com.br/vagas/?page=6,2000.0,2000.0
Assistente Financeiro,https://www.catho.com.br/vagas/assistente-financeiro/30652350/,Curitiba - PR (1),"Até R$ 2.000,00",True,https://www.catho.com.br/vagas/?page=6,2000.0,2000.0
Auxiliar de Logística,https://www.catho.com.br/vagas/auxiliar-de-logistica/30652042/,Carapicuíba - SP (150),A combinar,False,https://www.catho.com.br/vagas/?page=6,0.0,0.0
Auxiliar de Logística,https://www.catho.com.br/vagas/auxiliar-de-logistica/30652052/,Itapevi - SP (150),A combinar,False,https://www.catho.com.br/vagas/?page=6,0.0,0.0
